panel_id,dataset,contaminant,candidate_source_ids,candidate_provenance_confidence,n_candidate_materials,n_train_materials,n_condition_strata,n_condition_material_cells,condition_cell_r2,condition_cell_predictive_q2,condition_cell_nmae_range,condition_cell_nrmse_range,median_spearman,mean_pairwise_accuracy,mean_top1_hit_fraction,median_normalized_top1_regret,mean_chance_top1_hit,median_chance_normalized_top1_regret,mean_top1_hit_lift_over_chance,median_normalized_regret_reduction_vs_chance
1,Dataset I,Cd (II),Wang2021_invasive,high material identity; medium row provenance,5,50,4,20,0.5647723631410849,0.567784230681138,0.2252160922267508,0.2586816667197625,0.5499999999999999,0.7,0.25,0.2933524136334059,0.2,0.5800027224732305,0.0499999999999999,0.2866503088398245
2,Dataset I,Cd (II),Cui2016_Canna,row-level verified against official SI,4,51,6,24,-0.5168845553047434,0.696995749941538,0.292864779086776,0.3712145675135507,0.7999999999999999,0.8333333333333334,0.0,0.1940214664709213,0.25,0.483970251925663,-0.25,0.2899487854547417
3,Dataset I,Cd (II),Zama2017,row-level verified against official SI,16,39,3,48,-6596.794560158772,0.7272612945015006,19.60351027725708,20.24569442853126,-0.0088300244655789,0.4741799618398084,0.0,0.5625,0.0833333333333333,0.353422619047619,-0.0833333333333333,-0.2090773809523809
4,Dataset I,Cd (II),Alves2021,high material identity; medium row provenance,16,39,5,80,0.1130501540413454,0.999025165346324,0.1840202325955104,0.253170897296409,0.8132896698876542,0.8035037196294803,0.8,0.0,0.3,0.2911821216605676,0.5,0.2911821216605676
5,Dataset I,Cd (II),Cui2016_Wetland,row-level verified against official SI,3,52,1,3,-0.2869259963385955,-0.1717489262261688,0.3932774446786222,0.4631568636903325,-0.5,0.3333333333333333,0.0,0.5096468875136513,0.3333333333333333,0.5032156291712171,-0.3333333333333333,-0.0064312583424341
6,Dataset I,Cd (II),Cui2016_Wetland,row-level verified against official SI,4,51,2,8,-2.016854480053962,-2.016464866352852,0.5032669766396786,0.6242802157849359,-0.7999999999999999,0.1666666666666666,0.0,1.0,0.25,0.5760220379206185,-0.25,-0.4239779620793815
7,Dataset I,Cd (II),Gao2019,row-level verified against official SI,3,52,16,48,-0.7885703185832416,0.1429202232879604,0.2985586359882901,0.3751486707124212,-0.5,0.3958333333333332,0.125,1.0,0.3333333333333333,0.4811130456232686,-0.2083333333333333,-0.5188869543767314
8,Dataset I,Pb (II),Li2018 | Trakal2014,row-level verified against official SI,4,25,1,4,-2.549601348952494,0.4624796846355509,0.6332069506121037,0.7455539838251164,-0.3999999999999999,0.3333333333333333,0.0,0.3409760890926956,0.25,0.3514575827055355,-0.25,0.0104814936128398
9,Dataset I,Pb (II),Zama2017,row-level verified against official SI,16,13,3,48,-30677.635258214505,0.5917392315476698,61.73606768958333,67.58851413493855,0.0840168050416805,0.5960292580982236,1.0,0.0,0.7083333333333334,0.0937499999999998,0.2916666666666666,0.0937499999999998
10,Dataset I,Cu (II),Wang2021_invasive,high material identity; medium row provenance,5,4,6,30,-0.1837390594003014,0.5670667959930696,0.3415898701608975,0.3729314947976757,0.2924247867371795,0.6435185185185185,0.3888888888888889,0.3812104433550407,0.2333333333333333,0.4815050335992402,0.1555555555555555,0.1002945902441995
11,Dataset II,Sr (II),Shin2022_Postmodification,material label and source study verified from source article/SI,3,6,29,87,-0.1480559206575988,0.8203163787760223,0.2058444487465685,0.2783345931427565,-0.8660254037844387,0.2816091954022989,0.0862068965517241,1.0,0.3333333333333334,0.6348282107550668,-0.2471264367816092,-0.3651717892449332
12,Dataset III,Ibuprofen,Shin2022_Ibuprofen,source-article/SI verified,3,8,11,33,0.1261351664033865,0.3542615231030683,0.2915887459817797,0.3273836637377516,1.0,1.0,1.0,0.0,0.3333333333333333,0.6643462474107485,0.6666666666666666,0.6643462474107485
